iter	Passed	Remaining
161	444	2298
162	445	2286
163	451	2301
164	452	2288
165	457	2297
166	458	2284
167	462	2292
168	463	2280
169	469	2291
170	470	2278
171	470	2265
172	477	2280
173	477	2267
174	483	2278
175	484	2266
176	484	2254
177	492	2272
178	492	2259
179	500	2281
180	501	2270
181	502	2258
182	503	2249
183	504	2238
184	505	2226
185	506	2215
186	512	2229
187	514	2220
188	520	2235
189	521	2223
190	526	2230
191	527	2220
192	528	2207
193	528	2196
194	529	194	5195	530	195	574	2358
196	5197	539	2184
198	539	198	5199	545	2182
200	546	2171
201	547	2161
202	552	2170
203	560	2187
204	561	2177
205	563	2170
206	563	2160
207	564	2150
208	565	2141
209	571	2150
210	577	2159
211	578	2149
212	578	2138
213	579	2128
214	580	2119
215	581	2109
216	581	216	6217	588	217	6218	594	2120
219	595	2111
220	596	2102
221	603	2114
222	604	2105
223	609	2110
224	610	2101
225	611	2094
226	612	2085
227	619	2096
228	620	2087
229	620	2078
230	627	2087
231	628	2079
232	633	2086
233	638	2091
234	640	2084
235	642	2078
236	642	2069
237	643	2061
238	650	2070
239	651	2062
240	656	2068
241	657	2059
242	658	2050
243	658	2041
244	663	2045
245	664	2037
246	665	2029
247	674	2046
248	675	2038
249	677	2032
250	684	2042
251	685	2033
252	691	2040
253	692	2032
254	692	2023
255	699	2032
256	705	2039
257	712	2049
258	721	2063
259	722	2055
260	723	2047
261	731	2059
262	738	2069
263	739	2060
264	740	2052
265	740	2044
266	749	2057
267	750	2049
268	756	2054
269	757	2048
270	758	2039
271	765	2049
272	773	2060
273	774	2053
274	783	2065
275	784	2057
276	784	2048
277	785	2040
278	786	2033
279	787	2025
280	795	2035
281	796	2028
282	809	2050
283	810	2042
284	811	2034
285	811	2027
286	817	2031
287	818	2024
288	826	2033
289	832	2038
290	833	2030
291	834	2023
292	835	2015
293	835	2007
294	836	1999
295	843	2006
296	844	1999
297	845	1992
298	857	2009
299	864	2017
300	865	2010
301	866	2003
302	867	1996
303	872	1997
304	873	1990
305	874	1982
306	875	1977
307	882	1982
308	883	1974
309	889	1980
310	895	1984
311	896	1977
312	907	1991
313	908	1984
314	909	1977
315	915	1981
316	916	1975
317	922	1977
318	922	1970
319	923	1963
320	924	1955
321	931	1961
322	938	1967
323	946	1974
324	952	1979
325	954	1972
326	954	1965
327	959	1964
328	959	1957
329	960	1950
330	968	1957
331	969	1950
332	976	1955
333	977	1948
334	985	1955
335	986	1948
336	986	1941
337	993	1944
338	993	1938
339	994	1931
340	995	1924
341	1001	1925
342	1002	1920
343	1003	1914
344	1010	1918
345	1011	1911
346	1016	1913
347	1017	1906
348	1024	1911
349	1025	1905
350	1026	1898
351	1029	1895
352	1030	1889
353	1031	1882
354	1032	1876
355	1038	1878
356	1039	1871
357	1039	1864
358	1045	1866
359	1046	1859
360	1056	1870
361	1057	1864
362	1063	1865
363	1063	1859
364	1068	1858
365	1069	1851
366	1069	1845
367	1075	1846
368	1076	1840
369	1081	1842
370	1082	1835
371	1088	1838
372	1089	1831
373	1090	1825
374	1095	1825
375	1096	1819
376	1102	1821
377	1103	1815
378	1104	1809
379	1109	1809
380	1110	1803
381	1115	1804
382	1116	1798
383	1122	1800
384	1123	1794
385	1124	1788
386	1130	1789
387	1130	1783
388	1131	1777
389	1132	1771
390	1137	1772
391	1138	1766
392	1139	1760
393	1144	1761
394	1145	1754
395	1146	1748
396	1147	1742
397	1147	1736
398	1148	1730
399	1153	1730
400	1154	1724
401	1160	1726
402	1161	1720
403	1162	1715
404	1168	1716
405	1169	1710
406	1175	1712
407	1175	1706
408	1176	1700
409	1182	1701
410	1183	1695
411	11410	1232412	1189	1691
413	11412	1238	1760
413	1239415	1197	1680
416	11415	1245417	1203	1675
418	12417	1251419	12418	1252420	1210	1664
421	1211	1659
422	12421	1259423	1213	1647
424	12423	1265425	1219	1643
426	1220	1637
427	12426	1273	1709
427	1242429	12428	12428	1267429	12429	1268430	1283	1694
431	12431	1269432	1288	1687
433	12433	1275434	1290436	1239	1596
437	12436	1298	1672
437	1304	1674
438	1305	1668
439	1310	1668
440	1311	1662
441	1312	1657
442	1313	1651
443	1319	1652
444	1320	1647
445	1325	1646
446	1326	1640
447	1327	1635
448	1331	1634
449	1332	1628
450	1337	1628
451	1338	1623
452	1344	1623
453	1345	1618
454	1352	1619
455	1352	1614
456	1358	1614
457	1359	1608
458	1360	1603
459	1365	1602
460	1366	1597
461	1367	1592
462	1367	1586
463	1374	1587
464	1375	1581
465	1375	1576
466	1380	1576
467	1381	1570
468	1387	1571
469	1388	1565
470	1389	1560
471	1390	1555
472	1395	1554
473	1396	1549
474	1401	1549
475	1402	1543
476	1409	1545
477	1409	1539
478	1410	1534
479	1417	1535
480	1418	1530
481	1419	1525
482	1425	1525
483	1425	1519
484	1426	1514
485	1431	1514
486	1432	1508
487	1433	1503
488	1438	1503
489	1439	1498
490	1440	1493
491	1441	1488
492	1442	1483
493	1449	1484
494	1450	1479
495	1451	1474
496	1452	1470
497	1453	1464
498	1453	1459
499	1455	1455
500	1456	1450
501	1456	1445
502	1457	1440
503	1458	1435
504	1459	1430
505	1466	1431
506	1467	1427
507	1468	1422
508	1474	1422
509	1484	1426
510	1485	1421
511	1492	1422
512	1493	1417
513	1499	1417
514	1499	1412
515	1500	1407
516	1508	1409
517	1509	1404
518	1515	1404
519	1516	1399
520	15520	1522521	1523	1394
522	1530	1395
523	1530	1390
524	1537	1390
525	1537	1385
526	1543	1385
527	1544	1380
528	1549	1379
529	1550	1374
530	1556	1374
531	1557	1369
532	1563	1369
533	1564	1364
534	15534	1574	1368
535	1579	1367
536	1580	1362
537	1593	1368
538	1594	1363
539	1606	1368
540	1607	1364
541	1613	1363
542	1614	1359
543	1621	1359
544	1627	1358
545	1628	1353
546	1633	1352
547	1634	1348
548	1635	1343
549	1636	1338
550	1637	1334
551	1642	1333
552	1647	1332
553	1649	1327
554	1650	1323
555	1651	1318
556	1655	1317
557	1656	1312
558	1658	1308
559	1658	1303
560	1665	1303
561	1666	1298
562	1666	1293
563	1674	1294
564	1675	1289
565	1676	1285
566	1676	1280
567	1684	1281
568	1685	1276
569	1691	1276
570	1692	1271
571	1697	1270
572	1698	1265
573	1705	1265
574	1706	1261
575	1707	1257
576	1708	1252
577	1720	1256
578	1721	1251
579	1722	1246
580	1722	1242
581	1724	1238
582	1731	1238
583	1732	1233
584	1733	1229
585	1738	1228
586	1739	1223
587	1740	1219
588	1741	1214
589	1746	1213
590	1747	1209
591	1752	1207
592	1758	1207
593	1759	1202
594	1766	1202
595	1767	1198
596	1773	1196
597	1774	1192
598	1779	1190
599	1779	1186
600	1786	1186
601	1792	1184
602	1797	1183
603	1799	1179
604	1805	1178
605	1806	1174
606	1807	1169
607	1811	1168
608	1812	1163
609	1819	1163
610	1820	1158
611	1825	1157
612	1826	1152
613	1832	1152
614	1833	1147
615	1834	1143
616	1839	1141
617	1840	1137
618	1841	1133
619	1847	1132
620	1848	1128
621	1849	1123
622	1850	1119
623	1851	1115
624	1852	1111
625	1857	1109
626	1858	1105
627	1859	1101
628	1865	1100
629	1866	1096
630	1867	1091
631	1868	1087
632	1875	1087
633	1876	1083
634	1880	1081
635	1881	1077
636	1886	1074
637	1887	1070
638	1892	1069
639	1893	1064
640	1893	1060
641	1894	1056
642	1895	1052
643	1896	1048
644	1898	1044
645	1901	1042
646	1902	1038
647	1909	1037
648	1910	1033
649	1917	1032
650	1918	1028
651	1925	1027
652	1931	1026
653	1932	1022
654	1933	1018
655	1933	1014
656	1934	1010
657	1941	1009
658	1941	1004
659	1949	1004
660	1950	1000
661	1957	999
662	1958	995
663	1965	994
664	1966	990
665	1971	988
666	1972	984
667	1973	980
668	1974	976
669	1975	972
670	1975	968
671	1976	964
672	1977	960
673	1978	956
674	1978	952
675	1979	948
676	1979	944
677	1980	940
678	1981	936
679	1981	932
680	1987	930
681	1987	926
682	2005	930
683	2006	926
684	2014	926
685	2021	925
686	2022	921
687	2022	917
688	2023	913
689	2024	909
690	2029	907
691	2030	903
692	2037	902
693	2038	898
694	2039	894
695	2039	890
696	2040	887
697	2046	885
698	2047	881
699	2048	877
700	2068	882
701	2068	878
702	2071	875
703	2072	871
704	2072	867
705	2084	868
706	2091	866
707	2092	862
708	2092	858
709	2092	854
710	2093	850
711	2093	846
712	2103	846
713	2104	843
714	2114	842
715	2114	838
716	2115	834
717	2124	834
718	2124	830
719	2125	826
720	2126	822
721	2127	819
722	2131	816
723	2132	812
724	2133	809
725	2134	805
726	2135	801
727	2135	797
728	2142	796
729	2143	792
730	2144	789
731	2150	787
732	2151	783
733	2152	780
734	2166	781
735	2167	777
736	2168	773
737	2168	769
738	2168	766
739	2169	762
740	2178	761
741	2179	757
742	2187	756
743	2188	752
744	2188	749
745	2202	749
746	2203	746
747	2212	745
748	2212	741
749	2223	741
750	2224	737
751	2225	733
752	2234	732
753	2234	729
754	2235	725
755	2246	725
756	2247	721
757	2247	717
758	2264	719
759	2265	715
760	2277	715
761	2277	711
762	2279	708
763	2280	704
764	2281	700
765	2286	698
766	2292	696
767	2294	693
768	2295	689
769	2296	685
770	2300	683
771	2301	679
772	2301	675
773	2302	672
774	2308	670
775	2308	666
776	2309	662
777	2315	660
778	2316	657
779	2317	653
780	2323	651
781	2324	648
782	2332	646
783	2333	642
784	2339	640
785	2345	638
786	2346	635
787	2347	631
788	2355	629
789	2356	626
790	2363	624
791	2365	621
792	2365	617
793	2367	614
794	2368	610
795	2375	608
796	2375	605
797	2376	601
798	2378	598
799	2379	594
800	2386	592
801	2386	589
802	2393	587
803	2394	583
804	2401	581
805	2402	578
806	2408	575
807	2420	575
808	2421	571
809	2427	569
810	2434	567
811	2435	563
812	2436	560
813	2441	557
814	2442	554
815	2447	551
816	2448	548
817	2449	544
818	2455	542
819	2456	539
820	2463	537
821	2464	533
822	2469	531
823	2470	527
824	2471	524
825	2477	521
826	2478	518
827	2479	515
828	2480	511
829	2485	509
830	2486	505
831	2487	502
832	2493	499
833	2494	496
834	2499	493
835	2504	491
836	2505	487
837	2510	485
838	2511	482
839	2516	479
840	2521	476
841	2522	473
842	2522	469
843	2523	466
844	2531	464
845	2536	461
846	2537	458
847	2538	454
848	2543	452
849	2544	448
850	2549	446
851	2554	443
852	2555	440
853	2561	437
854	2561	434
855	2562	431
856	2567	428
857	2568	425
858	2569	421
859	2575	419
860	2575	415
861	2576	412
862	2577	409
863	2577	405
864	2581	402
865	2582	399
866	2588	397
867	2590	393
868	2591	390
869	2592	387
870	2592	384
871	2593	380
872	2594	377
873	2600	374
874	2602	371
875	2603	368
876	2608	365
877	2608	362
878	2609	359
879	2610	355
880	2611	352
881	2612	349
882	2617	346
883	2618	343
884	2623	340
885	2628	338
886	2629	335
887	2635	332
888	2636	329
889	2637	326
890	2642	323
891	2643	320
892	2649	317
893	2658	315
894	2665	312
895	2670	309
896	2671	306
897	2672	303
898	2677	300
899	2678	297
900	2683	294
901	2684	291
902	2685	288
903	2689	285
904	2690	282
905	2691	279
906	2692	276
907	2696	273
908	2697	270
909	2698	266
910	2704	264
911	2706	261
912	2712	258
913	2713	255
914	2714	252
915	2718	249
916	2719	246
917	2724	243
918	2725	240
919	2732	237
920	2733	234
921	2738	231
922	2742	228
923	2743	225
924	2744	222
925	2745	219
926	2751	216
927	2751	213
928	2752	210
929	2759	207
930	2760	204
931	2766	201
932	2767	198
933	2768	195
934	2769	192
935	2771	189
936	2772	186
937	2773	183
938	2777	180
939	2782	177
940	2783	174
941	2788	171
942	2789	168
943	2790	165
944	2790	162
945	2798	159
946	2800	156
947	2807	153
948	2808	150
949	2817	148
950	2825	145
951	2832	142
952	2842	140
953	2855	137
954	2856	134
955	2870	132
956	2892	129
957	2893	126
958	2894	123
959	2895	120
960	2896	117
961	2908	114
962	2909	111
963	2910	108
964	2915	105
965	2916	102
966	2922	99
967	2924	96
968	2925	93
969	2926	90
970	2928	87
971	2936	84
972	2937	81
973	2946	78
974	2947	75
975	2956	72
976	2962	69
977	2963	66
978	2968	63
979	2969	60
980	2970	57
981	2971	54
982	2978	51
983	2988	48
984	2995	45
985	2998	42
986	3002	39
987	3009	36
988	3010	33
989	3015	30
990	3016	27
991	3017	24
992	3024	21
993	3025	18
994	3037	15
995	3038	12
996	3039	9
997	3045	6
998	3049	3
999	3054	0
